Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Leavenworth township, Brown County, Minnesota",372,372,0,0,0,0,0,372,1,371,372,0
"Linden township, Brown County, Minnesota",301,300,0,0,0,0,4,301,4,297,298,3
"Milford township, Brown County, Minnesota",688,685,10,0,0,0,0,688,3,685,681,7
"Mulligan township, Brown County, Minnesota",172,170,2,0,0,0,0,172,0,172,172,0
"New Ulm city, Brown County, Minnesota",13249,12863,73,40,205,61,163,13249,487,12762,13093,156
"North Star township, Brown County, Minnesota",277,275,0,0,2,0,0,277,2,275,277,0
"Prairieville township, Brown County, Minnesota",277,277,0,0,0,0,0,277,0,277,277,0
"Sigel township, Brown County, Minnesota",398,389,0,0,15,0,0,398,0,398,392,6
"Sleepy Eye city, Brown County, Minnesota",3431,3129,21,0,6,0,281,3431,426,3005,3425,6
"Springfield city, Brown County, Minnesota",2105,2054,12,19,48,0,9,2105,70,2035,2068,37
"Stark township, Brown County, Minnesota",360,358,0,0,0,0,2,360,2,358,360,0
"Stately township, Brown County, Minnesota",170,170,0,0,0,0,0,170,0,170,170,0
"Atkinson township, Carlton County, Minnesota",404,397,7,2,2,0,4,404,9,395,396,8
"Automba township, Carlton County, Minnesota",122,122,0,0,0,0,0,122,0,122,122,0
"Barnum city, Carlton County, Minnesota",684,681,0,16,3,0,0,684,0,684,668,16
"Barnum township, Carlton County, Minnesota",810,810,0,6,0,0,0,810,0,810,804,6
"Beseman township, Carlton County, Minnesota",137,134,1,3,0,0,0,137,4,133,136,1
"Blackhoof township, Carlton County, Minnesota",1057,1015,4,9,38,0,0,1057,1,1056,1048,9
"Carlton city, Carlton County, Minnesota",1003,972,4,25,0,0,15,1003,15,988,990,13
"Clear Creek UT, Carlton County, Minnesota",111,104,10,0,0,0,0,111,0,111,108,3
"Cloquet city, Carlton County, Minnesota",11965,10408,280,1488,196,0,90,11965,290,11675,11470,495
"Cromwell city, Carlton County, Minnesota",287,285,0,2,0,0,0,287,0,287,287,0
"Eagle township, Carlton County, Minnesota",492,492,0,4,0,0,0,492,0,492,488,4
"Holyoke township, Carlton County, Minnesota",207,203,0,16,9,0,2,207,2,205,192,15
"Kalevala township, Carlton County, Minnesota",291,288,3,0,0,0,0,291,2,289,291,0
"Kettle River city, Carlton County, Minnesota",165,163,8,4,0,0,0,165,0,165,155,10
"Lakeview township, Carlton County, Minnesota",219,219,0,0,0,0,0,219,1,218,219,0
"Mahtowa township, Carlton County, Minnesota",660,645,7,3,12,0,7,660,12,648,648,12
"Moose Lake city, Carlton County, Minnesota",2815,2421,281,320,2,3,0,2815,98,2717,2603,212
"Moose Lake township, Carlton County, Minnesota",1152,1136,0,27,2,0,7,1152,16,1136,1132,20
"North Carlton UT, Carlton County, Minnesota",824,654,21,137,22,0,0,824,3,821,814,10
"Perch Lake township, Carlton County, Minnesota",991,737,11,306,1,2,3,991,16,975,922,69
"Scanlon city, Carlton County, Minnesota",1240,1182,35,29,0,0,4,1240,61,1179,1230,10
"Silver township, Carlton County, Minnesota",438,426,11,14,2,0,0,438,0,438,423,15
"Silver Brook township, Carlton County, Minnesota",678,666,3,20,0,0,0,678,2,676,667,11
"Skelton township, Carlton County, Minnesota",475,475,2,3,0,0,0,475,0,475,470,5
