Geography,Total Population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total population,Hispanic or Latino (of any race),Not Latino,One Race,Two or More Races
"Sverdrup township, Otter Tail County, Minnesota",658,615,15,2,8,0,26,658,31,627,650,8
"Tordenskjold township, Otter Tail County, Minnesota",480,480,3,7,0,4,0,480,0,480,466,14
"Trondhjem township, Otter Tail County, Minnesota",158,157,0,4,0,0,0,158,14,144,155,3
"Tumuli township, Otter Tail County, Minnesota",529,527,0,2,0,0,2,529,2,527,527,2
"Underwood city, Otter Tail County, Minnesota",418,411,7,59,0,0,0,418,1,417,359,59
"Urbank city, Otter Tail County, Minnesota",78,78,0,0,0,0,0,78,0,78,78,0
"Vergas city, Otter Tail County, Minnesota",377,377,0,18,0,0,0,377,2,375,359,18
"Vining city, Otter Tail County, Minnesota",45,44,9,0,9,1,0,45,2,43,36,9
"Wadena city, Otter Tail County, Minnesota",47,47,0,0,0,0,0,47,0,47,47,0
"Western township, Otter Tail County, Minnesota",104,104,0,0,0,0,0,104,0,104,104,0
"Woodside township, Otter Tail County, Minnesota",233,232,0,23,0,0,0,233,1,232,211,22
"Black River township, Pennington County, Minnesota",39,39,0,0,0,0,0,39,0,39,39,0
"Bray township, Pennington County, Minnesota",27,27,0,0,0,0,0,27,0,27,27,0
"Cloverleaf township, Pennington County, Minnesota",53,53,0,0,0,0,0,53,0,53,53,0
"Deer Park township, Pennington County, Minnesota",136,136,0,0,0,0,0,136,26,110,136,0
"Goodridge city, Pennington County, Minnesota",151,134,17,6,0,0,0,151,22,129,145,6
"Goodridge township, Pennington County, Minnesota",39,39,0,0,0,0,0,39,9,30,39,0
"Hickory township, Pennington County, Minnesota",95,95,0,0,0,0,0,95,0,95,95,0
"Highlanding township, Pennington County, Minnesota",193,174,6,21,0,0,0,193,11,182,185,8
"Kratka township, Pennington County, Minnesota",136,122,0,0,2,0,12,136,12,124,136,0
"Mayfield township, Pennington County, Minnesota",55,54,0,1,0,0,0,55,0,55,55,0
"Norden township, Pennington County, Minnesota",382,381,0,0,0,1,0,382,0,382,382,0
"North township, Pennington County, Minnesota",736,694,17,12,16,0,0,736,0,736,733,3
"Numedal township, Pennington County, Minnesota",147,147,0,0,0,0,0,147,10,137,147,0
"Polk Centre township, Pennington County, Minnesota",61,61,0,0,0,0,0,61,0,61,61,0
"Reiner township, Pennington County, Minnesota",91,88,4,3,0,0,0,91,0,91,87,4
"River Falls township, Pennington County, Minnesota",219,217,0,0,1,1,0,219,0,219,219,0
"Rocksbury township, Pennington County, Minnesota",1208,1171,15,37,6,0,0,1208,18,1190,1187,21
"St. Hilaire city, Pennington County, Minnesota",242,235,0,1,3,0,3,242,8,234,242,0
"Sanders township, Pennington County, Minnesota",347,345,0,0,0,0,8,347,8,339,341,6
"Silverton township, Pennington County, Minnesota",184,184,0,0,0,0,2,184,2,182,182,2
"Smiley township, Pennington County, Minnesota",715,659,20,22,28,6,27,715,36,679,680,35
"Star township, Pennington County, Minnesota",91,89,0,2,0,0,0,91,0,91,91,0
"Thief River Falls city, Pennington County, Minnesota",8769,8343,224,233,122,6,0,8769,334,8435,8625,144
"Wyandotte township, Pennington County, Minnesota",81,81,0,0,0,0,0,81,0,81,81,0
"Arlone township, Pine County, Minnesota",419,415,0,15,0,0,0,419,41,378,408,11
"Arna township, Pine County, Minnesota",47,42,0,5,0,0,0,47,0,47,47,0
"Askov city, Pine County, Minnesota",352,352,0,6,0,0,0,352,3,349,346,6
"Barry township, Pine County, Minnesota",559,490,11,86,0,0,2,559,69,490,540,19
"Birch Creek township, Pine County, Minnesota",225,225,0,4,0,0,0,225,1,224,221,4
"Bremen township, Pine County, Minnesota",199,198,1,4,0,0,0,199,1,198,195,4
"Brook Park city, Pine County, Minnesota",118,118,0,0,0,0,0,118,0,118,118,0
"Brook Park township, Pine County, Minnesota",500,492,0,10,0,0,6,500,6,494,492,8
"Bruno city, Pine County, Minnesota",85,85,0,3,0,0,0,85,0,85,82,3
"Bruno township, Pine County, Minnesota",176,176,0,0,0,0,0,176,20,156,176,0
"Chengwatana township, Pine County, Minnesota",988,984,2,3,20,0,0,988,3,985,967,21
"Clover township, Pine County, Minnesota",460,448,5,11,0,0,3,460,10,450,453,7
"Crosby township, Pine County, Minnesota",68,68,0,0,0,0,0,68,0,68,68,0
"Danforth township, Pine County, Minnesota",63,63,0,0,0,0,0,63,0,63,63,0
"Dell Grove township, Pine County, Minnesota",548,537,11,3,0,0,0,548,0,548,545,3
"Denham city, Pine County, Minnesota",38,38,0,0,0,0,0,38,0,38,38,0
"Finlayson city, Pine County, Minnesota",334,327,0,0,3,0,4,334,7,327,334,0
"Finlayson township, Pine County, Minnesota",451,441,15,7,2,0,0,451,0,451,437,14
"Fleming township, Pine County, Minnesota",102,102,0,0,0,0,2,102,2,100,100,2
"Henriette city, Pine County, Minnesota",97,94,0,0,3,0,0,97,0,97,97,0
"Hinckley city, Pine County, Minnesota",1519,1302,121,280,7,38,0,1519,38,1481,1318,201
"Hinckley township, Pine County, Minnesota",965,941,3,33,0,0,3,965,26,939,950,15
"Kerrick city, Pine County, Minnesota",66,66,0,0,0,0,0,66,0,66,66,0
"Kerrick township, Pine County, Minnesota",364,353,0,3,4,0,4,364,4,360,364,0
"Kettle River township, Pine County, Minnesota",575,572,0,14,0,0,0,575,4,571,564,11
"Mission Creek township, Pine County, Minnesota",633,619,0,46,18,0,0,633,18,615,583,50
"Munch township, Pine County, Minnesota",335,314,7,14,0,0,0,335,0,335,335,0
"New Dosey township, Pine County, Minnesota",46,44,0,2,0,0,0,46,0,46,46,0
"Nickerson township, Pine County, Minnesota",151,151,1,2,0,0,0,151,0,151,148,3
"Norman township, Pine County, Minnesota",253,233,0,20,0,0,0,253,8,245,253,0
"Ogema township, Pine County, Minnesota",300,173,0,130,0,0,6,300,10,290,291,9
"Park township, Pine County, Minnesota",15,15,0,0,0,0,0,15,0,15,15,0
"Partridge township, Pine County, Minnesota",605,583,10,22,0,0,0,605,7,598,595,10
"Pine City city, Pine County, Minnesota",3059,2923,106,16,20,8,73,3059,79,2980,2984,75
"Pine City township, Pine County, Minnesota",1330,1305,32,9,19,0,3,1330,42,1288,1292,38
"Pine Lake township, Pine County, Minnesota",548,548,0,7,9,0,0,548,9,539,532,16
"Pokegama township, Pine County, Minnesota",2654,2618,6,56,24,0,0,2654,49,2605,2604,50
"Rock Creek city, Pine County, Minnesota",1791,1752,0,13,43,5,2,1791,12,1779,1767,24
"Royalton township, Pine County, Minnesota",1241,1183,42,1,0,0,21,1241,51,1190,1235,6
"Rutledge city, Pine County, Minnesota",180,179,0,0,1,0,0,180,3,177,180,0
"Sandstone city, Pine County, Minnesota",2702,2106,394,198,29,16,105,2702,233,2469,2602,100
"Sandstone township, Pine County, Minnesota",1034,947,30,125,25,0,0,1034,16,1018,947,87
"Sturgeon Lake city, Pine County, Minnesota",407,405,0,8,0,0,0,407,0,407,401,6
"Sturgeon Lake township, Pine County, Minnesota",487,416,55,20,7,0,9,487,8,479,475,12
"Willow River city, Pine County, Minnesota",443,440,0,4,0,0,3,443,15,428,439,4
"Wilma township, Pine County, Minnesota",65,40,22,3,0,0,0,65,0,65,65,0
"Windemere township, Pine County, Minnesota",1460,1439,0,17,24,0,0,1460,19,1441,1440,20
"Aetna township, Pipestone County, Minnesota",221,221,0,0,0,0,0,221,0,221,221,0
"Altona township, Pipestone County, Minnesota",96,96,0,0,0,0,0,96,0,96,96,0
"Burke township, Pipestone County, Minnesota",241,241,0,0,0,0,0,241,7,234,241,0
"Eden township, Pipestone County, Minnesota",244,244,0,0,0,0,0,244,0,244,244,0
"Edgerton city, Pipestone County, Minnesota",1194,1178,12,25,0,0,0,1194,52,1142,1173,21
"Elmer township, Pipestone County, Minnesota",235,235,0,0,0,0,0,235,0,235,235,0
"Fountain Prairie township, Pipestone County, Minnesota",180,180,0,0,0,0,0,180,0,180,180,0
"Grange township, Pipestone County, Minnesota",192,188,1,2,0,0,2,192,2,190,191,1
"Gray township, Pipestone County, Minnesota",199,199,0,0,0,0,0,199,0,199,199,0
"Hatfield city, Pipestone County, Minnesota",33,30,0,3,0,0,0,33,2,31,33,0
"Holland city, Pipestone County, Minnesota",169,158,1,13,0,0,0,169,2,167,166,3
"Ihlen city, Pipestone County, Minnesota",46,46,0,0,0,0,0,46,2,44,46,0
"Jasper city, Pipestone County, Minnesota",579,572,10,4,10,7,2,579,25,554,553,26
"Osborne township, Pipestone County, Minnesota",322,320,0,2,0,0,0,322,2,320,322,0
"Pipestone city, Pipestone County, Minnesota",4102,3723,165,194,87,0,127,4102,399,3703,3938,164
"Rock township, Pipestone County, Minnesota",144,141,0,3,0,0,0,144,0,144,144,0
"Ruthton city, Pipestone County, Minnesota",293,281,2,24,0,0,10,293,48,245,269,24
"Sweet township, Pipestone County, Minnesota",287,285,2,6,0,0,0,287,0,287,281,6
"Trosky city, Pipestone County, Minnesota",94,94,0,0,0,0,0,94,0,94,94,0
"Troy township, Pipestone County, Minnesota",217,217,0,0,0,0,0,217,0,217,217,0
"Woodstock city, Pipestone County, Minnesota",141,122,0,19,0,0,0,141,0,141,141,0
"Andover township, Polk County, Minnesota",91,91,0,0,0,0,0,91,0,91,91,0
"Angus township, Polk County, Minnesota",45,45,0,0,0,0,0,45,0,45,45,0
"Badger township, Polk County, Minnesota",95,95,0,0,0,0,0,95,0,95,95,0
"Belgium township, Polk County, Minnesota",105,93,8,12,0,0,0,105,2,103,97,8
"Beltrami city, Polk County, Minnesota",102,102,0,0,0,0,0,102,0,102,102,0
"Brandsvold township, Polk County, Minnesota",293,288,9,8,0,0,0,293,0,293,281,12
"Brandt township, Polk County, Minnesota",79,79,0,0,0,0,0,79,0,79,79,0
"Brislet township, Polk County, Minnesota",26,26,0,0,0,0,0,26,0,26,26,0
"Bygland township, Polk County, Minnesota",254,254,0,0,0,0,0,254,0,254,254,0
"Chester township, Polk County, Minnesota",66,66,0,0,0,0,0,66,0,66,66,0
"Climax city, Polk County, Minnesota",291,278,1,5,4,5,0,291,7,284,289,2
"Columbia township, Polk County, Minnesota",358,348,2,16,7,0,0,358,3,355,347,11
"Crookston city, Polk County, Minnesota",7780,7223,203,126,143,0,225,7780,1095,6685,7640,140
"Crookston township, Polk County, Minnesota",442,437,0,5,0,0,2,442,3,439,440,2
"East Grand Forks city, Polk County, Minnesota",8614,8114,407,273,58,10,78,8614,436,8178,8291,323
"Eden township, Polk County, Minnesota",226,200,3,9,96,0,0,226,7,219,146,80
"Erskine city, Polk County, Minnesota",497,482,0,21,0,0,0,497,59,438,491,6
"Esther township, Polk County, Minnesota",213,185,0,0,0,0,28,213,28,185,213,0
"Euclid township, Polk County, Minnesota",132,132,0,0,0,0,1,132,4,128,131,1
"Fairfax township, Polk County, Minnesota",174,173,0,0,0,0,1,174,4,170,174,0
"Fanny township, Polk County, Minnesota",78,78,0,0,0,0,0,78,0,78,78,0
"Farley township, Polk County, Minnesota",46,46,0,0,0,0,0,46,0,46,46,0
"Fertile city, Polk County, Minnesota",1086,1055,1,32,0,0,0,1086,35,1051,1084,2
"Fisher city, Polk County, Minnesota",523,485,10,3,6,2,23,523,32,491,517,6
"Fisher township, Polk County, Minnesota",114,109,0,5,0,0,0,114,0,114,114,0
"Fosston city, Polk County, Minnesota",1613,1539,16,49,22,10,24,1613,65,1548,1566,47
"Garden township, Polk County, Minnesota",147,147,0,0,0,0,0,147,0,147,147,0
"Garfield township, Polk County, Minnesota",530,522,2,15,11,13,2,530,18,512,495,35
"Gentilly township, Polk County, Minnesota",214,214,3,0,0,0,0,214,7,207,211,3
"Godfrey township, Polk County, Minnesota",304,299,1,5,0,0,0,304,0,304,303,1
"Grand Forks township, Polk County, Minnesota",181,181,0,2,0,0,0,181,2,179,179,2
"Grove Park-Tilden township, Polk County, Minnesota",376,349,0,27,0,0,0,376,0,376,376,0
"Gully city, Polk County, Minnesota",60,60,0,0,0,0,0,60,0,60,60,0
"Gully township, Polk County, Minnesota",126,100,26,11,0,0,0,126,0,126,115,11
"Hammond township, Polk County, Minnesota",56,27,0,29,0,0,0,56,0,56,56,0
"Helgeland township, Polk County, Minnesota",78,78,0,0,0,0,0,78,0,78,78,0
"Higdem township, Polk County, Minnesota",76,76,0,0,0,0,0,76,9,67,76,0
"Hill River township, Polk County, Minnesota",86,85,0,4,0,0,0,86,4,82,83,3
"Hubbard township, Polk County, Minnesota",88,85,3,6,0,0,0,88,0,88,82,6
"Huntsville township, Polk County, Minnesota",456,453,0,3,0,0,0,456,17,439,456,0
"Johnson township, Polk County, Minnesota",55,55,0,0,0,0,0,55,0,55,55,0
"Kertsonville township, Polk County, Minnesota",62,60,0,2,0,0,0,62,0,62,62,0
"Keystone township, Polk County, Minnesota",51,51,0,0,0,0,0,51,0,51,51,0
"King township, Polk County, Minnesota",228,228,0,0,0,0,0,228,0,228,228,0
"Knute township, Polk County, Minnesota",578,571,0,14,0,0,0,578,0,578,571,7
"Lengby city, Polk County, Minnesota",93,93,0,0,0,0,0,93,0,93,93,0
"Lessor township, Polk County, Minnesota",139,139,0,0,0,0,0,139,0,139,139,0
"Liberty township, Polk County, Minnesota",60,60,0,0,0,0,0,60,0,60,60,0
"Lowell township, Polk County, Minnesota",443,381,24,58,0,0,0,443,28,415,428,15
"McIntosh city, Polk County, Minnesota",607,574,6,9,20,0,0,607,13,594,605,2
"Mentor city, Polk County, Minnesota",186,185,0,0,6,0,2,186,8,178,179,7
"Nesbit township, Polk County, Minnesota",87,83,4,0,0,0,0,87,0,87,87,0
"Nielsville city, Polk County, Minnesota",132,132,0,0,0,0,0,132,43,89,132,0
"Northland township, Polk County, Minnesota",127,127,0,0,0,0,0,127,0,127,127,0
"Onstad township, Polk County, Minnesota",87,87,0,0,0,0,0,87,7,80,87,0
"Parnell township, Polk County, Minnesota",43,43,0,0,0,0,0,43,0,43,43,0
"Queen township, Polk County, Minnesota",180,176,0,0,4,0,0,180,0,180,180,0
"Reis township, Polk County, Minnesota",69,69,0,0,0,0,1,69,1,68,68,1
"Rhinehart township, Polk County, Minnesota",134,134,0,0,0,0,0,134,4,130,134,0
"Roome township, Polk County, Minnesota",115,113,0,2,0,0,0,115,8,107,115,0
"Rosebud township, Polk County, Minnesota",326,326,0,3,0,0,0,326,0,326,323,3
"Russia township, Polk County, Minnesota",31,31,0,0,0,0,0,31,0,31,31,0
"Sandsville township, Polk County, Minnesota",42,42,0,0,0,0,0,42,0,42,42,0
"Scandia township, Polk County, Minnesota",39,39,0,0,0,0,0,39,0,39,39,0
"Sletten township, Polk County, Minnesota",228,228,0,0,0,0,0,228,0,228,228,0
"Sullivan township, Polk County, Minnesota",144,144,0,0,0,0,0,144,4,140,144,0
"Tabor township, Polk County, Minnesota",70,70,0,0,0,0,0,70,0,70,70,0
"Trail city, Polk County, Minnesota",68,68,12,15,0,0,0,68,0,68,53,15
"Tynsid township, Polk County, Minnesota",42,42,0,0,0,0,0,42,0,42,42,0
"Vineland township, Polk County, Minnesota",118,112,0,6,0,0,0,118,3,115,118,0
"Winger city, Polk County, Minnesota",205,196,0,20,0,0,0,205,0,205,194,11
"Winger township, Polk County, Minnesota",198,196,0,2,0,0,0,198,0,198,198,0
"Woodside township, Polk County, Minnesota",456,446,0,10,0,0,0,456,0,456,456,0
"Bangor township, Pope County, Minnesota",193,193,0,0,0,0,0,193,0,193,193,0
"Barsness township, Pope County, Minnesota",82,80,0,2,0,0,0,82,0,82,82,0
"Ben Wade township, Pope County, Minnesota",255,253,2,0,0,0,0,255,0,255,255,0
"Blue Mounds township, Pope County, Minnesota",189,185,0,2,4,0,0,189,0,189,187,2
"Brooten city, Pope County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Chippewa Falls township, Pope County, Minnesota",214,214,0,0,0,0,0,214,5,209,214,0
"Cyrus city, Pope County, Minnesota",349,343,0,0,11,11,0,349,16,333,338,11
"Farwell city, Pope County, Minnesota",35,35,0,0,0,0,0,35,0,35,35,0
"Gilchrist township, Pope County, Minnesota",211,205,20,0,0,0,0,211,0,211,197,14
"Glenwood city, Pope County, Minnesota",2521,2506,9,0,0,0,6,2521,16,2505,2521,0
"Glenwood township, Pope County, Minnesota",1070,1028,8,13,25,0,7,1070,21,1049,1059,11
"Grove Lake township, Pope County, Minnesota",275,220,8,0,3,0,44,275,52,223,275,0
"Hoff township, Pope County, Minnesota",104,102,2,0,0,0,0,104,0,104,104,0
"Lake Johanna township, Pope County, Minnesota",93,93,0,0,0,0,0,93,5,88,93,0
"Langhei township, Pope County, Minnesota",169,169,0,0,0,0,0,169,0,169,169,0
"Leven township, Pope County, Minnesota",494,494,0,0,0,0,0,494,0,494,494,0
"Long Beach city, Pope County, Minnesota",310,304,6,0,0,0,0,310,2,308,310,0
"Lowry city, Pope County, Minnesota",419,405,0,0,17,0,3,419,5,414,413,6
"Minnewaska township, Pope County, Minnesota",500,500,0,0,0,0,0,500,0,500,500,0
"New Prairie township, Pope County, Minnesota",227,225,0,0,0,0,2,227,2,225,227,0
"Nora township, Pope County, Minnesota",208,203,3,2,0,0,0,208,0,208,208,0
"Reno township, Pope County, Minnesota",364,353,11,5,0,0,0,364,0,364,359,5
"Rolling Forks township, Pope County, Minnesota",159,159,0,0,0,0,0,159,0,159,159,0
"Sedan city, Pope County, Minnesota",54,54,0,0,0,0,0,54,0,54,54,0
"Starbuck city, Pope County, Minnesota",1323,1297,26,37,12,0,0,1323,0,1323,1274,49
"Villard city, Pope County, Minnesota",243,241,0,9,6,0,0,243,2,241,230,13
"Walden township, Pope County, Minnesota",161,161,3,0,0,0,0,161,0,161,158,3
"Westport city, Pope County, Minnesota",43,31,0,0,0,0,12,43,12,31,43,0
"Westport township, Pope County, Minnesota",259,259,0,0,0,0,0,259,0,259,259,0
"White Bear Lake township, Pope County, Minnesota",408,408,0,0,0,0,0,408,3,405,408,0
"Arden Hills city, Ramsey County, Minnesota",10250,9390,284,179,762,12,70,10250,309,9941,9848,402
"Blaine city, Ramsey County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0
"Falcon Heights city, Ramsey County, Minnesota",5560,4232,490,14,863,13,110,5560,140,5420,5398,162
"Gem Lake city, Ramsey County, Minnesota",501,480,5,0,16,0,8,501,12,489,493,8
"Lauderdale city, Ramsey County, Minnesota",2501,1733,378,48,388,0,16,2501,60,2441,2439,62
"Little Canada city, Ramsey County, Minnesota",10321,7774,1103,142,1726,0,139,10321,584,9737,9809,512
"Maplewood city, Ramsey County, Minnesota",40127,29424,4652,791,6452,38,643,40127,3046,37081,38407,1720
"Mounds View city, Ramsey County, Minnesota",12872,10415,1056,205,1154,51,506,12872,748,12124,12391,481
"New Brighton city, Ramsey County, Minnesota",22440,18763,2206,246,1487,6,598,22440,1191,21249,21599,841
"North Oaks city, Ramsey County, Minnesota",4961,4724,48,14,192,0,19,4961,152,4809,4925,36
"North St. Paul city, Ramsey County, Minnesota",12241,9731,1314,107,1231,17,231,12241,599,11642,11872,369
"Roseville city, Ramsey County, Minnesota",35624,28937,3382,677,3721,115,561,35624,1349,34275,34092,1532
"St. Anthony city, Ramsey County, Minnesota",3370,2595,598,22,232,9,38,3370,263,3107,3255,115
"St. Paul city, Ramsey County, Minnesota",300820,185748,55657,7274,57698,709,10253,300820,29207,271613,285995,14825
"Shoreview city, Ramsey County, Minnesota",26432,23313,764,162,2556,64,208,26432,827,25605,25797,635
"Spring Lake Park city, Ramsey County, Minnesota",242,93,9,0,149,0,0,242,0,242,233,9
"Vadnais Heights city, Ramsey County, Minnesota",13283,11358,859,25,1252,0,149,13283,509,12774,12923,360
"White Bear township, Ramsey County, Minnesota",11414,11097,120,100,394,0,15,11414,323,11091,11130,284
"White Bear Lake city, Ramsey County, Minnesota",24934,22883,841,265,1731,25,101,24934,629,24305,24183,751
"Brooks city, Red Lake County, Minnesota",120,120,0,6,0,0,0,120,0,120,114,6
"Browns Creek township, Red Lake County, Minnesota",40,40,0,0,0,0,0,40,3,37,40,0
"Emardville township, Red Lake County, Minnesota",244,244,0,0,0,0,0,244,28,216,244,0
"Equality township, Red Lake County, Minnesota",131,126,5,3,0,0,0,131,5,126,128,3
"Garnes township, Red Lake County, Minnesota",175,175,0,0,0,0,0,175,0,175,175,0
"Gervais township, Red Lake County, Minnesota",225,195,0,28,0,0,2,225,2,223,225,0
"Lake Pleasant township, Red Lake County, Minnesota",75,67,0,0,8,0,0,75,7,68,75,0
"Lambert township, Red Lake County, Minnesota",163,163,0,0,0,0,0,163,0,163,163,0
"Louisville township, Red Lake County, Minnesota",124,120,0,0,4,0,0,124,6,118,124,0
"Oklee city, Red Lake County, Minnesota",410,390,6,28,8,0,0,410,0,410,388,22
"Plummer city, Red Lake County, Minnesota",410,399,0,15,0,0,0,410,42,368,406,4
"Poplar River township, Red Lake County, Minnesota",82,67,0,0,0,0,15,82,15,67,82,0
"Red Lake Falls city, Red Lake County, Minnesota",1366,1342,20,20,0,0,20,1366,32,1334,1332,34
"Red Lake Falls township, Red Lake County, Minnesota",142,142,0,0,0,0,0,142,0,142,142,0
"River township, Red Lake County, Minnesota",96,96,0,0,0,0,0,96,0,96,96,0
"Terrebonne township, Red Lake County, Minnesota",157,153,3,4,3,0,0,157,0,157,151,6
"Wylie township, Red Lake County, Minnesota",57,57,0,0,0,0,0,57,0,57,57,0
"Belview city, Redwood County, Minnesota",364,362,0,0,2,0,0,364,12,352,364,0
"Brookville township, Redwood County, Minnesota",152,152,0,0,0,0,0,152,0,152,152,0
"Charlestown township, Redwood County, Minnesota",248,218,0,0,2,0,28,248,28,220,248,0
"Clements city, Redwood County, Minnesota",186,162,0,9,18,0,0,186,47,139,183,3
"Delhi city, Redwood County, Minnesota",30,30,0,0,0,0,0,30,0,30,30,0
